voter_id,nombre,partido,dim_1,dim_2,legislatura
P784,Veloz Silva María Luisa,Morena,0.309729,-0.009797,LXIV
P785,Viedma Velázquez Alejandro,Morena,0.309785,-0.009823,LXIV
P786,Villa Villegas Alberto,Morena,0.309785,-0.009823,LXIV
P787,Villalvazo Amaya Mirtha Iliana,Morena,0.092846,0.279187,LXIV
P788,Villarauz Martínez Rocío del Pilar,Morena,0.309783,-0.009823,LXIV
P789,Villavicencio Ayala Silvia Lorena,Morena,0.29747,0.037512,LXIV
P79,Borrego Adame Francisco Javier,Morena,0.309759,-0.0085,LXIV
P791,Yáñez Centeno y Cabrera Claudia Valeria,Morena,0.265144,0.5534,LXIV
P792,Zamora Valdez Casimiro,Morena,0.309772,-0.009814,LXIV
P793,Zavaleta Sánchez Graciela,Morena,0.309763,-0.009859,LXIV
P794,Dávila Fernández Adriana,Partido Acción Nacional (PAN),-0.985568,-0.169279,LXIV
P795,Díaz Jiménez Antonia Natividad,Partido Acción Nacional (PAN),-0.989357,-0.14551,LXIV
P796,Flores Suárez Ricardo,Partido Acción Nacional (PAN),-0.926088,-0.377307,LXIV
P797,Gómez Quej José Del Carmen,Partido Acción Nacional (PAN),-0.982543,-0.186036,LXIV
P798,Gracia Guzmán Raúl,Partido Acción Nacional (PAN),-0.975538,0.054756,LXIV
P799,Lastra Muñoz Claudia Elena,Partido Acción Nacional (PAN),0.107016,0.195509,LXIV
P800,Mata Carrasco Mario,Partido Acción Nacional (PAN),-0.940727,-0.339165,LXIV
P801,Preciado Rodríguez Jorge Luis,Partido Acción Nacional (PAN),-0.935871,-0.352343,LXIV
P802,Rosas Quintanilla José Salvador,Partido Acción Nacional (PAN),-0.926045,-0.377413,LXIV
P804,Sandoval Mendoza María Liduvina,Partido Acción Nacional (PAN),-0.961751,-0.273925,LXIV
P805,Torres Peimbert María Marcela,Partido Acción Nacional (PAN),-0.820004,0.202815,LXIV
P807,Villarreal García Ricardo,Partido Acción Nacional (PAN),-0.925108,-0.379704,LXIV
P808,Adame Castillo Marco Antonio,Partido Acción Nacional (PAN),-0.981512,0.056957,LXIV
P809,Aguilar Vega Marcos,Partido Acción Nacional (PAN),-0.981524,0.056894,LXIV
P810,Arriaga Rojas Justino Eugenio,Partido Acción Nacional (PAN),-0.961751,-0.273925,LXIV
P811,Ascencio Barba Sergio Fernando,Partido Acción Nacional (PAN),-0.935505,-0.353315,LXIV
P812,Ayala Díaz Ma. de los Ángeles,Partido Acción Nacional (PAN),-0.994432,-0.105383,LXIV
P813,Azuara Zúñiga Xavier,Partido Acción Nacional (PAN),-0.996859,-0.079199,LXIV
P814,Bonnafoux Alcaraz Madeleine,Partido Acción Nacional (PAN),-0.986766,-0.162153,LXIV
P815,Cambero Pérez José Ramón,Partido Acción Nacional (PAN),-0.995514,-0.094606,LXIV
