voter_id,nombre,genero,curul_tipo,legislatura,partido,partido_disciplina,dim_1_aligned,dim_2_aligned,dim_1_raw,dim_2_raw,disciplina,n_votos
P00144,Aguilar López José Alejandro,M,mayoria_relativa,LXVI,PT,Alternativa Socialdemócrata,0.3497579653419173,-0.3308713993837426,-0.359045,-0.134649,0.9731,223
P00162,Borboa Becerra Omar Antonio,M,mayoria_relativa,LXVI,PAN,Convergencia,-0.5636642656590822,0.41844155871894995,0.803572,0.595208,0.839,205
P00167,Carbajal Méndez Liliana,F,plurinominal,LXVI,PVEM,Nueva Alianza,0.3162738684120635,-0.7470244618475887,-0.805185,0.055807,0.9103,223
P00265,Monraz Ibarra Miguel Ángel,M,mayoria_relativa,LXVI,PAN,Convergencia,-0.5343675872255294,0.4579022803691605,0.836237,0.548369,0.861,223
P00289,Ramírez Barba Ector Jaime,M,mayoria_relativa,LXVI,PAN,Convergencia,-0.5393890073979334,0.4514643698273021,0.830997,0.556277,0.9507,223
P00313,Sánchez Juárez Claudia,F,plurinominal,LXVI,PVEM,Nueva Alianza,-0.10018910142838494,0.15812652183224246,0.345743,0.180634,0.9327,223
P00328,Verástegui Ostos César Augusto,M,plurinominal,LXVI,PAN,Convergencia,-0.5328000538366195,0.45988588801731367,0.837844,0.54591,0.9013,223
P00365,De la Rosa García Juan Hugo,M,mayoria_relativa,LXVI,MORENA,Independientes,0.11323306958729519,-0.21863364306361838,-0.148107,0.084525,0.934,197
P00429,Sánchez Barrios Carlos,M,mayoria_relativa,LXVI,MORENA,Independientes,0.36514381753237113,-0.22991319543688343,-0.253492,-0.188855,0.9552,223
P00463,Abramo Masso Yerico,M,plurinominal,LXVI,PRI,Partido Encuentro Social,0.20338940329881702,0.7837854261332974,0.923038,-0.384708,0.9507,223
P00537,Palma César Víctor Samuel,M,plurinominal,LXVI,PRI,Partido Encuentro Social,0.21980063278433495,0.7824492952592752,0.91551,-0.402296,0.8475,223
P00542,Pinete Vargas María del Carmen,F,plurinominal,LXVI,PVEM,Nueva Alianza,-0.017813563796164902,-0.4639342966472624,-0.370009,0.319424,0.95,80
P00635,Puente Salas Carlos Alberto,M,mayoria_relativa,LXVI,PVEM,Nueva Alianza,0.3162298239512823,-0.7462994804586573,-0.80437,0.055588,0.9596,223
P00932,Albores Gleason Roberto Armando,M,mayoria_relativa,LXVI,PT,Alternativa Socialdemócrata,0.23795988778849297,-0.9299207480114509,-0.977792,0.20958,0.9641,223
P00962,Ortiz González Graciela,F,plurinominal,LXVI,PRI,Partido Encuentro Social,0.22154924591059058,0.7822879671609166,0.914687,-0.404163,0.8072,223
P01060,Guerra Castillo Marcela,F,mayoria_relativa,LXVI,PRI,Partido Encuentro Social,0.24996003178844303,0.7791646453381817,0.900762,-0.434312,0.8341,223
P01110,Moreira Valdez Rubén Ignacio,M,mayoria_relativa,LXVI,PRI,Partido Encuentro Social,0.12125348512862222,0.7857531750634937,0.955515,-0.294941,0.9955,223
P01118,Pedroza Jiménez Héctor,M,mayoria_relativa,LXVI,PVEM,Nueva Alianza,0.31771437365948696,-0.8149278368328603,-0.880529,0.079277,0.9148,223
P01139,Ruíz Massieu Salinas Claudia,F,plurinominal,LXVI,MC,Sin Partido,0.39101847312128446,0.7491034088778651,0.81559,-0.57863,0.713,216
P01180,Morán Sánchez Leoncio Alfonso,M,mayoria_relativa,LXVI,MORENA,Independientes,0.3189234907789773,-0.1689117906101988,-0.169228,-0.160442,0.8161,223
P01234,Hinojosa Pérez José Manuel,M,plurinominal,LXVI,PAN,Convergencia,-0.5389646764560948,0.45201311820426804,0.831445,0.555607,0.852,223
P01240,López Rabadán Kenia,F,plurinominal,LXVI,PAN,Convergencia,-0.5391977597597482,0.4517117697051949,0.831199,0.555975,0.9372,223
P01320,Narro Céspedes José,M,mayoria_relativa,LXVI,MORENA,Independientes,0.36513295839432125,-0.2299322625284167,-0.253509,-0.188836,0.8145,221
P01358,Salgado Vázquez Rigoberto,M,mayoria_relativa,LXVI,MORENA,Independientes,0.36699087234484573,-0.48759943688648055,-0.538079,-0.095801,0.95,120
P01402,Espinosa Ramos Francisco Amadeo,M,plurinominal,LXVI,PT,Alternativa Socialdemócrata,0.20546542615309715,-0.9329539315173704,-0.969143,0.2465,0.9193,223
P01407,Vázquez González Pedro,M,plurinominal,LXVI,PT,Alternativa Socialdemócrata,0.1757146206730304,-0.9346424899595908,-0.960025,0.279901,0.9507,223
P01919,Abreu Artiñano Rocío Adriana,F,plurinominal,LXVI,MORENA,Independientes,0.3191086166669213,-0.16894962734121016,-0.169338,-0.160632,0.843,223
P01939,Bautista Villegas Oscar,M,mayoria_relativa,LXVI,PVEM,Nueva Alianza,0.3162449370550444,-0.7467781950897021,-0.804903,0.055748,0.9776,223
P01959,Castro Trenti Fernando Jorge,M,plurinominal,LXVI,MORENA,Independientes,0.31892386979026033,-0.168986090819846,-0.16931,-0.160415,0.7713,223
P02049,Núñez Sánchez Gloria Elizabeth,F,plurinominal,LXVI,MC,Sin Partido,0.45514609536036144,0.7269021351721153,0.767466,-0.64109,0.9507,223
P02103,Vitela Rodríguez Alma Marina,F,mayoria_relativa,LXVI,MORENA,Independientes,0.3826372799226031,-0.23208222463642586,-0.262337,-0.207328,0.8879,223
P02115,Torres Cofiño Marcelo de Jesús,M,mayoria_relativa,LXVI,PAN,Convergencia,-0.5392952851999985,0.45158561755619475,0.831096,0.556129,0.9507,223
P02124,Anaya Llamas José Guillermo,M,mayoria_relativa,LXVI,PAN,Convergencia,-0.5385110050981545,0.4525989230695655,0.831923,0.554891,0.9193,223
P02170,Niño de Rivera Vela Homero Ricardo,M,mayoria_relativa,LXVI,PAN,Convergencia,-0.5386807921423952,0.45237958693852653,0.831744,0.555159,0.9238,223
P02180,Pelayo Covarrubias Francisco,M,mayoria_relativa,LXVI,PAN,Convergencia,-0.5384531403646882,0.45267276270870194,0.831983,0.5548,0.9641,223
P02239,Antonio Altamirano Carol,M,mayoria_relativa,LXVI,MORENA,Independientes,0.3651530562144756,-0.2299028399216156,-0.253484,-0.188869,0.9552,223
P02286,Moreno Rivera Julio César,M,plurinominal,LXVI,MORENA,Independientes,0.36514297403673435,-0.2298944173382481,-0.253471,-0.188861,0.861,223
P02319,Astudillo Suárez Ricardo,M,plurinominal,LXVI,PVEM,Nueva Alianza,-0.10401431390007634,0.15846911866392893,0.347532,0.184722,0.8296,223
P02328,Núñez Aguilar Ernesto,M,mayoria_relativa,LXVI,PVEM,Nueva Alianza,0.31873129311793924,-0.775263379648341,-0.837204,0.06352,0.8565,223
P02341,Gómez Pozos Merilyn,F,plurinominal,LXVI,MORENA,Independientes,0.3820841946327401,-0.23204872734419751,-0.262096,-0.206731,0.7848,223
P02348,Monreal Ávila Ricardo,M,plurinominal,LXVI,MORENA,Independientes,0.36512858108005297,-0.22991648331488818,-0.25349,-0.188837,0.991,223
P02354,Aguilar Gil Lilia,F,plurinominal,LXVI,PT,Alternativa Socialdemócrata,0.22151218599014091,-0.9316111325610797,-0.973585,0.228325,0.9238,223
P02357,Benavides Castañeda José Alberto,M,mayoria_relativa,LXVI,PT,Alternativa Socialdemócrata,0.22880406911254997,-0.9309006408305682,-0.975493,0.220029,0.8296,223
P02361,Núñez Monreal Magdalena del Socorro,F,plurinominal,LXVI,PT,Alternativa Socialdemócrata,-0.0985277637822575,0.16490579293791074,0.352599,0.176302,0.87,223
P02374,Rincón Chanona Sonia,F,plurinominal,LXVI,MORENA,Independientes,0.3820588603473095,-0.2320327061038851,-0.262069,-0.206709,0.9462,223
P02799,Benítez Tiburcio Mariana,F,plurinominal,LXVI,MORENA,Independientes,0.3911899128893097,-0.24335520316059234,-0.277913,-0.212591,0.7937,223
P02812,Ceja García Xitlalic,F,plurinominal,LXVI,PRI,Partido Encuentro Social,0.17038077129935947,0.7855203597217779,0.93713,-0.348981,0.9283,223
P02825,Domínguez Domínguez Cesar Alejandro,M,mayoria_relativa,LXVI,PRI,Partido Encuentro Social,0.21162517455641455,0.7831546905221443,0.919304,-0.393549,0.9552,223
P02863,Meléndez Ortega Juan Antonio,M,mayoria_relativa,LXVI,PRI,Partido Encuentro Social,0.22000124497906673,0.7824302601099561,0.915415,-0.40251,0.8206,223
P02878,Ortega Pacheco Ivonne Aracelly,F,plurinominal,LXVI,MC,Sin Partido,0.4003936927518209,0.698768467785428,0.756674,-0.570385,0.8789,223
P02901,Sánchez Arredondo Nancy Guadalupe,F,plurinominal,LXVI,MORENA,Independientes,0.19755045183516037,-0.18260906834691917,-0.139531,-0.021665,0.861,223
P02954,Döring Casar Federico,M,plurinominal,LXVI,PAN,Convergencia,-0.5386631347907661,0.452402746265273,0.831763,0.555131,0.9507,223
P02963,Garza Treviño Pedro,M,mayoria_relativa,LXVI,PAN,Convergencia,-0.5364537086877375,0.45524214391141005,0.834076,0.551649,0.8875,80
P02972,Huerta Villegas Genoveva,F,plurinominal,LXVI,PAN,Convergencia,-0.5391325618791779,0.45179623428328275,0.831268,0.555872,0.9462,223
P02999,Rendón García Cesar Augusto,M,plurinominal,LXVI,PAN,Convergencia,-0.5396636530295285,0.45110825660831155,0.830706,0.556711,0.8206,223
P03004,Rodríguez Torres Luis Agustín,M,plurinominal,LXVI,PAN,Convergencia,-0.5393200062750478,0.4515537388254972,0.83107,0.556168,0.9507,223
P03008,Salim Alle Miguel Ángel,M,plurinominal,LXVI,PAN,Convergencia,-0.5390823036303422,0.45186026508220445,0.83132,0.555793,0.9238,223
P03074,Álvarez López Jesús Emiliano,M,mayoria_relativa,LXVI,MORENA,Independientes,0.36517671525016127,-0.22988946986586967,-0.253478,-0.1889,0.991,223
