legislatura,partido,curul_tipo,n_personas,disciplina_mean,disciplina_std,centroid_d1,centroid_d2,std_d1,n_votos_mean
LXI,PT,plurinominal,10,0.6624,0.11966281330843298,-0.9648791451610222,0.17590281053472184,0.025615459026836793,733.9
LXI,PVEM,plurinominal,22,0.7245272727272728,0.09769880918423375,0.547576163929887,0.10813390144381278,0.5002982010647831,599.5909090909091
LXII,MC,mayoria_relativa,10,0.71298,0.10313539967764064,-0.7310656502983978,0.16787410575018358,0.1162753905626228,571.4
LXII,MC,plurinominal,12,0.7262833333333333,0.09266990129519188,-0.7648577499035744,0.17494548216186023,0.0423876128896172,591.3333333333334
LXII,MORENA,mayoria_relativa,65,0.7189476923076923,0.132473327631089,-0.3244442499423363,0.43692756091132257,0.20272924187388802,514.6923076923077
LXII,MORENA,plurinominal,71,0.7516056338028169,0.10060143266137477,-0.11071166899461198,0.328767106307386,0.4671103806912628,592.056338028169
LXII,PAN,mayoria_relativa,67,0.8422746268656717,0.09163859075818737,-0.21080969912288564,-0.703893808393998,0.12659026623379815,507.65671641791045
LXII,PAN,plurinominal,76,0.8374592105263158,0.07947478288133336,-0.22643318924897515,-0.7255516853405917,0.10842448514083498,577.8157894736842
LXII,PRI,mayoria_relativa,198,0.8791343434343435,0.08456230053877076,0.6547880342432933,-0.2656627368008273,0.09420826197162877,508.8939393939394
LXII,PRI,plurinominal,82,0.8545512195121951,0.11557420708866421,0.6415209507622359,-0.27055836365973107,0.18733891177364875,548.5975609756098
LXII,PT,mayoria_relativa,5,0.66618,0.09222329965903416,-0.6511445192121502,0.3574983489444157,0.10717906480166617,630.0
LXII,PT,plurinominal,11,0.7008,0.12327951167975969,-0.5793562577492637,0.4620298456003951,0.06658824195176333,559.6363636363636
LXII,PVEM,mayoria_relativa,12,0.77625,0.11860783739242993,0.7308989175466402,-0.4086849307043967,0.11101934446286207,623.6666666666666
LXII,PVEM,plurinominal,16,0.81413125,0.11779446913303411,0.7605723970400264,-0.4413725523976399,0.12890935229460634,686.9375
LXIII,MC,mayoria_relativa,15,0.8406933333333334,0.1200306536244963,0.77160199040885,0.057186449988419805,0.4861322573175603,467.26666666666665
LXIII,MC,plurinominal,13,0.8399307692307693,0.11670562243393551,0.9821714006652602,-0.1274620936013238,0.09395768433312728,597.6153846153846
LXIII,MORENA,mayoria_relativa,65,0.7380938461538462,0.1739823759725061,0.8500931852806448,0.16099864486021467,0.41162100027994797,515.0307692307692
LXIII,MORENA,plurinominal,99,0.7603676767676767,0.14064690034693464,0.579020687378547,0.06929443786720768,0.7299118841890277,578.0
LXIII,PAN,mayoria_relativa,67,0.8230701492537313,0.09765279094977479,-0.02348933297423458,0.588540192276977,0.2392498341659634,543.0895522388059
LXIII,PAN,plurinominal,67,0.7645940298507463,0.11587692907170954,-0.08840994491453306,0.6567529534710069,0.2050792788790052,571.776119402985
LXIII,PRI,mayoria_relativa,186,0.8242467741935484,0.1311592558493045,-0.19023797733308548,-0.49735474786104256,0.19841402540719563,501.2204301075269
LXIII,PRI,plurinominal,82,0.7780560975609756,0.1441253476199043,-0.21361937137976786,-0.482876736190442,0.19155067201487533,588.7439024390244
LXIII,PVEM,mayoria_relativa,27,0.7052407407407407,0.09772967134380765,-0.3268944540355945,-0.5421160166782468,0.294431835178474,500.6666666666667
LXIII,PVEM,plurinominal,24,0.7135541666666666,0.13615847537581593,-0.30803709292448334,-0.6146110583449135,0.2384471750583284,562.0416666666666
LXIV,MC,mayoria_relativa,21,0.9133571428571428,0.08082643485536505,0.056191679969425964,0.12812159316854227,0.09851066521223324,469.04761904761904
LXIV,MC,plurinominal,11,0.8620272727272728,0.0730004943943408,0.030504238841943795,0.11655578715971941,0.019071092942220664,634.7272727272727
LXIV,MORENA,mayoria_relativa,234,0.8729089743589743,0.09091464117072158,0.06155120267774588,-0.7349651361800762,0.27067097293791703,571.6709401709402
LXIV,MORENA,plurinominal,111,0.8730873873873874,0.10550040251290485,0.08502272148780414,-0.718879817590397,0.2449595345451705,642.0540540540541
LXIV,PAN,mayoria_relativa,54,0.8405796296296296,0.10312118970365862,0.35216952651802863,0.216343208328712,0.1286687994341683,544.8703703703703
