voter_id,nombre,partido,dim_1,dim_2,legislatura
P00334,Zermeño Infante Jorge,PAN,0.892001,-0.452034,LX
P00335,Álvarez Ramón Silbestre,MORENA,-0.983449,-0.064082,LX
P00336,Gálvez Rodríguez Fernel Arturo,MORENA,-0.862742,-0.330757,LX
P00337,Morales Sánchez Efraín,MORENA,-0.645757,0.170651,LX
P00338,Sánchez Camacho David,MORENA,-0.755297,0.001152,LX
P00339,Sandoval Ramírez Cuauhtémoc,MORENA,-0.786204,-0.179284,LX
P00340,Soto Ramos Faustino,MORENA,-0.930049,-0.367435,LX
P00341,Torres Baltazar María Elena,MORENA,-0.962261,-0.272127,LX
P00342,Ulloa Pérez Emilio,MORENA,-0.928029,-0.205705,LX
P00343,Zavaleta Salgado Ruth,MORENA,-0.700521,-0.140334,LX
P00344,Almazán González José Antonio,MORENA,-0.912442,-0.409206,LX
P00345,Alonso Flores Lourdes,MORENA,-0.654693,0.048676,LX
P00346,Alonso Razo Humberto Wilfrido,MORENA,-0.841381,-0.173723,LX
P00347,Altamirano Toledo Carlos,MORENA,-0.733112,-0.007099,LX
P00348,Alva Olvera Maribel Luisa,MORENA,-0.982824,-0.184546,LX
P00349,Amaro Corona Alberto,MORENA,-0.872343,-0.322595,LX
P00350,Aragón Castillo Irene,MORENA,-0.681655,0.132525,LX
P00351,Arellano Pulido Miguel Ángel,MORENA,-0.658712,0.037651,LX
P00352,Arreola Calderón Juan Dario,MORENA,-0.707038,0.039482,LX
P00353,Barreiro Pérez Armando,MORENA,-0.938837,-0.145105,LX
P00354,Bautista Bravo Alliet Mariana,MORENA,-0.703602,0.109759,LX
P00355,Bravo Padilla Itzcóatl Tonatiuh,MORENA,-0.669905,0.084425,LX
P00356,Brito González Modesto,MORENA,-0.845359,-0.074767,LX
P00357,Calzada Vázquez Francisco Javier,MORENA,-0.684825,-0.046552,LX
P00358,Campos Aburto Amador,MORENA,-0.681784,0.122911,LX
P00359,Cervantes Rodríguez Aurora,MORENA,-0.759871,-0.065806,LX
P00360,Chávez García Higinio,MORENA,-0.85931,-0.329433,LX
P00361,Contreras Julián Maricela,MORENA,-0.966358,-0.257199,LX
P00362,Cruz Santiago Claudia Lilia,MORENA,-0.89728,-0.154482,LX
P00363,Cuevas Córdova Othón,MORENA,-0.936152,-0.205597,LX
P00364,Dagdug Lützow Moisés Félix,MORENA,-0.699192,-0.066634,LX
P00365,De la Rosa García Juan Hugo,MORENA,-0.643745,0.040192,LX
P00366,De los Santos Molina Joaquín Conrado,MORENA,-0.831682,-0.107057,LX
P00367,Dehesa Mora Daniel,MORENA,-0.710045,-0.012569,LX
P00368,Del Toro Mario Enrique,MORENA,-0.696647,0.068796,LX
P00369,Díaz Contreras Adriana,MORENA,-0.679157,1.4e-05,LX
P00370,Escandón Cadenas Rutilio Cruz,MORENA,-0.847201,-0.271476,LX
P00371,Espejel Lazcano Jaime,MORENA,-0.666205,0.0,LX
P00372,Flores Maldonado César,MORENA,-0.614259,0.206139,LX
P00373,Flores Salazar Guadalupe Socorro,MORENA,-0.673547,0.045348,LX
P00374,Franco Melgarejo Rafael,MORENA,-0.837032,-0.31339,LX
