voter_id,nombre,partido,dim_1,dim_2,legislatura
P00844,"Neyra Chávez, Armando",PRI,-0.567992,-0.505823,LXII
P00845,"Yunes Zorrilla, José Francisco",PRI,-0.566576,-0.501631,LXII
P00846,"Melgar Bravo, Luis Armando",PVEM,-0.571023,-0.504766,LXII
P00847,"Torres Peimbert, María Marcela",PAN,0.342873,0.58191,LXII
P00848,"Blásquez Salinas, Marco Antonio",PT,0.996375,-0.08507,LXII
P00849,"Sánchez García, Gerardo",PRI,-0.534488,-0.495356,LXII
P00850,"Ortega Martínez, Ma. del Pilar",PAN,0.223361,0.776252,LXII
P00851,"Martínez Espinoza, María Verónica",PAN,-0.577194,-0.523701,LXII
P00852,"Galindo Matías, Norma Alicia",PRI,-0.583135,-0.553931,LXII
P00890,"Hernández Núñez, Elia",PAN,-0.155571,0.219597,LXII
P00896,"Oramas Vargas, Arquímedes",PRI,-0.47081,-0.410862,LXII
P00898,"Urzúa Rivera, Ricardo",PAN,-0.430123,-0.44272,LXII
P00915,"Acosta Islas, Anabel",PRI,-0.453064,-0.423897,LXII
P00916,"Aréchiga Ávila, Jorge",PVEM,-0.340472,-0.477688,LXII
P00917,"Ceseña Burgoin, Ángel Salvador",PRI,-0.453064,-0.423897,LXII
P00918,"Fernández Sánchez Navarro, Juan Alejandro",PAN,0.221264,0.975214,LXII
P00919,"Montes Colunga, Vianey",PAN,-0.415083,0.091515,LXII
P00920,"Quiroga Tamez, Mayela María de Lourdes",PRI,-0.453064,-0.423897,LXII
P00921,"Trujillo Íñiguez, Agustín",PAN,-0.371073,0.307607,LXII
P00922,"Cobián Chávez, Irma Zulema",PAN,-0.057178,0.995844,LXII
P00923,"Clavel Sánchez, Lizette",PAN,0.046267,0.828893,LXII
P00924,"Domínguez Arvizu, María Hilaria",PAN,-0.453028,-0.423911,LXII
P00925,"Rocha Acosta, Sonia",PAN,0.334004,0.149606,LXII
P00926,"Borreguín González, Luciano",PAN,0.628898,-0.586784,LXII
P00927,"Salinas Balam, Víctor",PRI,-0.461726,-0.432491,LXII
P00010,"Ayala Almeida, Joel",PRI,0.465107,-0.52147,LXIII
P00011,"Bartlett Díaz, Manuel",PT,-0.997498,0.070691,LXIII
P00033,"Corral Jurado, Javier",PAN,-0.622484,0.237715,LXIII
P00052,"Gamboa Patrón, Emilio",PRI,0.43835,-0.522571,LXIII
P00092,"Larios Córdova, Héctor",PAN,0.147531,0.34576,LXIII
P00112,"Calderón Hinojosa, Luisa María",PAN,0.851813,0.523806,LXIII
P00730,"Aispuro Torres, José Rosas",PAN,0.999876,0.015753,LXIII
P00731,"Albores Gleason, Roberto Armando",PRI,0.51093,-0.483268,LXIII
P00732,"Alcalá Ruiz, Blanca María del Socorro",PRI,0.484157,-0.535251,LXIII
P00733,"Álvarez García, Ivonne Liliana",PRI,0.426491,-0.522093,LXIII
P00734,"Amador Gaxiola, Daniel",PRI,0.426567,-0.519468,LXIII
P00735,"Araujo Lara, Angélica del Rosario",PRI,0.429838,-0.506354,LXIII
P00737,"Ávila Ruiz, Daniel Gabriel",PAN,-0.449729,0.522521,LXIII
P00738,"Barbosa Huerta, Miguel",MORENA,-0.585895,-0.660354,LXIII
P00739,"Barrera Tapia, María Elena",PVEM,0.497646,-0.528356,LXIII
P00740,"Barroso Agramont, Ricardo",PRI,0.410954,-0.5218,LXIII
P00741,"Beristain Navarrete, Luz María",MORENA,-0.650839,-0.593974,LXIII
P00742,"Burgos García, Enrique",PRI,0.432409,-0.520056,LXIII
P00743,"Búrquez Valenzuela, Francisco de Paula",PAN,-0.503233,0.238763,LXIII
P00745,"Casillas Romero, Jesús",PRI,0.420103,-0.514572,LXIII
P00746,"Cavazos Lerma, Manuel",PRI,0.418775,-0.514833,LXIII
P00747,"Cervantes Andrade, Raúl",PRI,0.469333,-0.547117,LXIII
P00748,"Chico Herrera, Miguel Ángel",PRI,0.77867,-0.627434,LXIII
P00749,"Cordero Arroyo, Ernesto Javier",PAN,0.457898,-0.031732,LXIII
P00750,"Cota Jiménez, Manuel Humberto",PRI,0.419201,-0.519897,LXIII
P00751,"Cuéllar Cisneros, Lorena",MORENA,-0.703016,-0.419485,LXIII
P00752,"Cuevas Barron, Gabriela",PAN,-0.011535,-0.999933,LXIII
P00753,"Dávila Fernández, Adriana",PAN,-0.26608,-0.061997,LXIII
P00754,"De la Peña Gómez, Angélica",MORENA,-0.568271,-0.347345,LXIII
P00755,"Delgado Carrillo, Mario",MORENA,-0.887559,-0.254278,LXIII
P00756,"Demédicis Hidalgo, Fidel",MORENA,-0.613968,-0.789328,LXIII
P00757,"Díaz Lizama, Rosa Adriana",PAN,-0.164352,-0.159871,LXIII
P00758,"Díaz Salazar, María Cristina",PRI,0.480147,-0.530285,LXIII
P00760,"Encinas Rodríguez, Alejandro de Jesús",MORENA,-0.778101,-0.342938,LXIII
P00761,"Escudero Morales, Pablo",PVEM,0.459092,-0.55303,LXIII
P00762,"Fayad Meneses, Omar",PRI,0.418295,-0.554327,LXIII
P00764,"Flores Escalera, Hilda Esthela",PRI,0.439367,-0.536352,LXIII
P00765,"Flores Ramírez, Juan Gerardo",PVEM,0.427942,-0.51255,LXIII
