legislator_id,nombre,partido,partido_id,comunidad,degree_centrality,betweenness_centrality,covotacion_intra_partido,covotacion_inter_partido_prom
P02601,"Sandoval Ventura, Diego",MORENA,O11,0,0.29455919050109114,9.257084400807618e-07,0.9842419234020032,0.48109562105233705
P02602,"Pérez Pérez, Francisco Arturo",MORENA,O11,0,0.2850008926635857,4.054246962932524e-07,0.9842419234020032,0.48109562105233705
P02603,"Gutiérrez Santoyo, María Luisa",MORENA,O11,0,0.2968468930337367,2.640693225342553e-07,0.9842419234020032,0.48109562105233705
P02610,"Falcón Venegas, Sandra Luz",MORENA,O11,0,0.3325966731370171,0.0003909834324788974,0.9842419234020032,0.48109562105233705
P02614,"Fuentes Gutiérrez, Miguel Antonio",MORENA,O11,0,0.256160851399756,1.737600183693625e-07,0.9842419234020032,0.48109562105233705
P02618,"Redin Morales, Hime Del Carmen",PT,O14,0,0.2589349318513289,1.4398653207573578e-07,0.934364852785745,0.47541593044951413
P02625,"Zúñiga Maldonado, Virginia",PVEM,O13,0,0.26109080563878184,5.612601977955385e-07,0.964047693959322,0.49056771397552124
P02681,"Dip. Aguilar Gil, Lilia",PT,O14,0,0.10958279721526697,2.3161556542233723e-05,0.934364852785745,0.47541593044951413
P02682,"Dip. Álvarez Nemer, Mónica Angélica",MORENA,O11,0,0.11075325457807352,2.2070637868038957e-05,0.9842419234020032,0.48109562105233705
P02684,"Dip. Fernández Samaniego, José Armando",MORENA,O11,0,0.10402535585214867,1.2937775854710806e-05,0.9842419234020032,0.48109562105233705
P02685,"Dip. Gómez Maldonado, Maiella Martha Gabriela",MORENA,O11,0,0.11178824666532462,2.3161556542233723e-05,0.9842419234020032,0.48109562105233705
P02687,"Dip. Miranda Barrera, Luis Enrique",PVEM,O13,0,0.11644317686463253,2.3161556542233723e-05,0.964047693959322,0.49056771397552124
P02689,"Dip. Padierna Luna, María de los Dolores",MORENA,O11,0,0.10296304392882821,1.2900669284612798e-05,0.9842419234020032,0.48109562105233705
P02691,"Dip. Valdés Peña, Jesús",MORENA,O11,0,0.11178824666532462,2.3161556542233723e-05,0.9842419234020032,0.48109562105233705
P02692,"Dip. Íñiguez Franco, José Mario",PAN,O12,0,0.07356176703804547,6.434984550469034e-06,0.9123981773382102,0.4696132912646623
P02695,"Novoa Toscano, David",PAN,O12,0,0.17256349114504285,9.48809093709381e-07,0.9123981773382102,0.4696132912646623
P02696,"Sobrino Argaez, Carlos Hernando",PRI,O15,0,0.1542214183782486,8.581184762742054e-07,0.9556839908588937,0.4718876604060948
P02705,"Dip. Ambriz Delgadillo, Humberto",PRI,O15,0,0.06628419452332758,5.914638327956282e-06,0.9556839908588937,0.4718876604060948
P02706,"Dip. Burgos Hernández, Anais Miriam",MORENA,O11,0,0.09874566196056236,1.543913767940729e-05,0.9842419234020032,0.48109562105233705
P02707,"Dip. Carbajal Méndez, Liliana",PVEM,O13,0,0.09773782660107279,5.914638327956282e-06,0.964047693959322,0.49056771397552124
P02708,"Dip. Castillo Pérez, Carlos Alonso",MORENA,O11,0,0.09874566196056236,1.543913767940729e-05,0.9842419234020032,0.48109562105233705
P02709,"Dip. De la Vega Vargas, Alma Rosa",MORENA,O11,0,0.10503366482983544,8.626061504044393e-06,0.9842419234020032,0.48109562105233705
P02710,"Dip. Ferráez Centeno, Ana Miriam",MORENA,O11,0,0.07486250263085378,6.506058116014727e-08,0.9842419234020032,0.48109562105233705
P02711,"Dip. Gutiérrez Valtierra, Diana Estefanía",PAN,O12,0,0.09360516252612304,1.8704459265052125e-05,0.9123981773382102,0.4696132912646623
P02712,"Dip. Zavala Gómez del Campo, Margarita Ester",PAN,O12,0,0.08773442368999211,7.722188788561019e-06,0.9123981773382102,0.4696132912646623
P02713,"Dip. Ballesteros Mancilla, Laura Irais",MC,O16,0,0.09655776699178051,1.5978105448336235e-05,0.9741783347043201,0.47672612796866437
P02714,"Dip. Arreola Trinidad, Azucena",MORENA,O11,0,0.09527160683789698,6.350965608189856e-06,0.9842419234020032,0.48109562105233705
P02721,"Jaimes Archundia, Erik Iván",SG,O19,0,0.23920230465148787,4.112076954681729e-06,0.8444387962968763,0.46232694147305464
P02723,"Bolaños Azocar, Raymundo",PAN,O12,0,0.25650268748348226,4.462814964077555e-06,0.9123981773382102,0.4696132912646623
P02724,"García Gordillo, Edna Geraldina",PRI,O15,0,0.11601695942540148,0.0,0.9556839908588937,0.4718876604060948
P02725,"González Delgado, Erasmo Catarino",PVEM,O13,0,0.20891406733575835,4.99594159311207e-07,0.964047693959322,0.49056771397552124
