voter_id,nombre,genero,curul_tipo,legislatura,partido,partido_disciplina,dim_1_aligned,dim_2_aligned,dim_1_raw,dim_2_raw,disciplina,n_votos
P01668,"Cruz Blackledge, Gina Andrea",F,,LXV,PAN,Convergencia,-0.5892846084167425,0.1738899484076433,-0.833867,0.262887,0.958,690.0
P01669,"Fernández Balboa, Mónica",F,,LXV,MORENA,Independientes,0.9657413915832576,-0.2092480515923567,0.721159,-0.120251,0.9956,686.0
P01670,"Fócil Pérez, Juan Manuel",M,,LXV,MORENA,,-0.6770816084167426,0.014577948407643315,-0.921664,0.103575,0.9831,531.0
P01671,"Fuentes Solís, Víctor Oswaldo",M,,LXV,PAN,Convergencia,-0.6034726084167426,0.44088094840764325,-0.848055,0.529878,0.9202,677.0
P01672,"Gálvez Ruiz, Xóchitl",F,plurinominal,LXV,PAN,Convergencia,-0.7357116084167425,0.10854494840764331,-0.980294,0.197542,0.8997,578.0
P01673,"Gama Basarte, Marco Antonio",M,,LXV,MC,Sin Partido,-0.30139460841674254,0.11237294840764331,-0.545977,0.20137,0.9833,420.0
P01674,"García Cabeza de Vaca, Ismael",M,plurinominal,LXV,PAN,Convergencia,-0.5005396084167424,-0.06424605159235669,-0.745122,0.024751,0.9485,369.0
P01675,"Herrera Ruiz, Gilberto",M,plurinominal,LXV,MORENA,Independientes,0.9976123915832575,-0.060656051592356694,0.75303,0.028341,0.9886,616.0
P01676,"Kempis Martínez, Indira",F,mayoria_relativa,LXV,MC,Sin Partido,-0.5655946084167425,-0.39996905159235674,-0.810177,-0.310972,0.7457,468.0
P01677,"López Rabadán, Kenia",F,,LXV,PAN,Convergencia,-0.5461996084167424,0.1774089484076433,-0.790782,0.266406,0.9854,683.0
P01678,"Madero Muñoz, Gustavo Enrique",M,,LXV,MORENA,,-0.7519476084167425,-0.1722350515923567,-0.99653,-0.083238,0.9708,617.0
P01679,"Márquez Alvarado, Martha Cecilia",F,mayoria_relativa,LXV,PT,Alternativa Socialdemócrata,0.2138673915832575,-1.0885250515923566,-0.030715,-0.999528,0.8764,348.0
P01680,"Martín del Campo Martín del Campo, Juan Antonio",M,mayoria_relativa,LXV,PAN,Convergencia,-0.42275460841674245,0.25490294840764327,-0.667337,0.3439,0.9777,537.0
P01681,"Martínez Simón, Mayuli Latifa",F,plurinominal,LXV,PAN,Convergencia,-0.5103516084167425,0.2721729484076433,-0.754934,0.36117,0.8831,616.0
P01682,"Mercado, Patricia",F,,LXV,MC,Sin Partido,-0.4827776084167425,-0.5474000515923567,-0.72736,-0.458403,0.9921,762.0
P01683,"Navarro Acevedo, Nadia",F,plurinominal,LXV,PAN,Convergencia,-0.6225666084167425,0.07013294840764331,-0.867149,0.15913,0.9597,397.0
P01684,"Núñez Sánchez, Gloria Elizabeth",F,,LXV,MC,Sin Partido,-0.44985060841674246,-0.1945980515923567,-0.694433,-0.105601,0.9977,438.0
P01685,"Paz Alonzo, Raúl",M,,LXV,MORENA,Independientes,0.3762243915832575,-0.9204160515923567,0.131642,-0.831419,0.8333,348.0
P01686,"Piña Gudiño, Blanca Estela",F,mayoria_relativa,LXV,MORENA,Independientes,0.5464283915832575,0.048501948407643325,0.301846,0.137499,0.9624,505.0
P01687,"Rementería del Puerto, Julen",M,plurinominal,LXV,PAN,Convergencia,-0.5429266084167426,0.1976309484076433,-0.787509,0.286628,0.991,558.0
P01688,"Reynoso Sánchez, Alejandra Noemí",F,,LXV,PAN,Convergencia,-0.5983446084167425,0.24092594840764334,-0.842927,0.329923,0.8693,681.0
P01689,"Rosales San Román, Indira de Jesús",F,plurinominal,LXV,PAN,Convergencia,-0.5849336084167425,0.1653629484076433,-0.829516,0.25436,0.9296,412.0
P01690,"Saldaña Cisneros, María Guadalupe",F,plurinominal,LXV,PAN,Convergencia,-0.5109736084167424,0.2083079484076433,-0.755556,0.297305,0.9616,677.0
P01691,"Salgado García, Nestora",F,mayoria_relativa,LXV,MORENA,Independientes,0.7205673915832576,-0.029368051592356698,0.475985,0.059629,0.9614,647.0
P01692,"Vázquez Alatorre, Antares Guadalupe",F,plurinominal,LXV,MORENA,Independientes,0.8868873915832576,-0.3612090515923567,0.642305,-0.272212,0.9693,782.0
P01693,"Vázquez Mota, Josefina",F,,LXV,PAN,Convergencia,-0.5156856084167425,0.20621194840764331,-0.760268,0.295209,0.9843,574.0
P01694,"Zepeda Vidales, Damián",M,,LXV,PAN,Convergencia,-0.7376856084167425,0.09848794840764333,-0.982268,0.187485,0.9565,736.0
P01695,"Harp Iturribarría, Susana",F,,LXV,MORENA,Independientes,0.4948613915832575,-0.042894051592356694,0.250279,0.046103,0.9675,708.0
P01696,"Hernández Mora, M. Citlalli",F,mayoria_relativa,LXV,MORENA,Independientes,0.7311323915832575,-0.2693580515923567,0.48655,-0.180361,0.875,176.0
P01697,"León Gastélum, Alejandra del Carmen",F,mayoria_relativa,LXV,MC,Sin Partido,-0.1929486084167425,-0.2302430515923567,-0.437531,-0.141246,0.9543,416.0
P01698,"Valencia de la Mora, Gricelda",F,mayoria_relativa,LXV,MORENA,Independientes,0.6779953915832575,0.058844948407643316,0.433413,0.147842,0.9969,650.0
P01699,"Gómez Urrutia, Napoleón",M,plurinominal,LXV,MORENA,Independientes,0.7400683915832575,-0.28420105159235665,0.495486,-0.195204,0.9708,513.0
P01705,"Anaya Mota, Claudia Edith",F,,LXV,PRI,Partido Encuentro Social,-0.6313076084167424,-0.1782870515923567,-0.87589,-0.08929,0.9798,642.0
P01707,"García Hernández, Gabriel",M,,LXV,MORENA,Independientes,0.7332663915832576,-0.2659400515923567,0.488684,-0.176943,1.0,415.0
P01708,"Quiñonez Ruiz, Juan",M,,LXV,MORENA,Independientes,0.9008333915832576,0.020099948407643314,0.656251,0.109097,1.0,76.0
P01709,"Sánchez Cordero Dávila, Olga María del Carmen",F,plurinominal,LXV,MORENA,Independientes,0.7144363915832574,0.2141509484076433,0.469854,0.303148,0.986,784.0
P01710,"Castañón, Noé",M,,LXV,MC,Sin Partido,-0.4573886084167425,-0.3994690515923567,-0.701971,-0.310472,0.9455,532.0
P01712,"Bours Griffith, Arturo",M,mayoria_relativa,LXV,MORENA,Independientes,0.7596663915832575,-0.18450005159235672,0.515084,-0.095503,0.9449,345.0
P01714,"Peña Villa, José Alejandro",M,plurinominal,LXV,MORENA,Independientes,0.8073643915832576,0.061155948407643324,0.562782,0.150153,1.0,187.0
