vote_event_id,result,requirement,asistentes,mayoria_necesaria,a_favor,en_contra,abstencion,ausente,margin,critical_parties,critical_count
VE_S00713,aprobada,mayoria_simple,102,51,56,46,0,0,5,O12|O15|O18,3
VE_S00714,aprobada,mayoria_simple,104,52,55,49,0,0,3,O12|O13|O15|O18,4
VE_S00715,aprobada,mayoria_simple,103,52,55,48,0,0,3,O12|O13|O15|O18,4
VE_S00716,aprobada,mayoria_simple,97,49,97,0,0,0,48,,0
VE_S00717,aprobada,mayoria_simple,83,42,82,0,1,0,40,,0
VE_S00718,aprobada,mayoria_simple,110,55,110,0,0,0,55,,0
VE_S00719,aprobada,mayoria_simple,112,56,76,35,1,0,20,O12|O15,2
VE_S00720,aprobada,mayoria_simple,80,40,65,15,0,0,25,O12|O15,2
VE_S00721,aprobada,mayoria_simple,107,54,66,38,3,0,12,O12|O15,2
VE_S00722,aprobada,mayoria_simple,80,40,66,14,0,0,26,O15,1
VE_S00723,aprobada,mayoria_calificada,92,991,91,0,1,0,-900,O12|O13|O15|O18|O19,5
VE_S00724,aprobada,mayoria_simple,89,45,89,0,0,0,44,,0
VE_S00725,aprobada,mayoria_simple,82,41,80,0,2,0,39,,0
VE_S00726,aprobada,mayoria_simple,74,37,74,0,0,0,37,,0
VE_S00727,aprobada,mayoria_simple,91,46,84,0,7,0,38,O15,1
VE_S00728,aprobada,mayoria_simple,80,40,78,0,2,0,38,,0
VE_S00729,aprobada,mayoria_simple,73,37,73,0,0,0,36,,0
VE_S00730,aprobada,mayoria_calificada,78,991,78,0,0,0,-913,O12|O13|O15|O18|O19,5
VE_S00731,aprobada,mayoria_simple,79,40,79,0,0,0,39,,0
VE_S00732,aprobada,mayoria_simple,74,37,74,0,0,0,37,,0
VE_S00733,aprobada,mayoria_calificada,92,991,92,0,0,0,-899,O12|O13|O15|O18|O19,5
VE_S00734,aprobada,mayoria_simple,81,41,80,0,1,0,39,,0
VE_S00735,aprobada,mayoria_simple,90,45,90,0,0,0,45,,0
VE_S00736,aprobada,mayoria_simple,79,40,79,0,0,0,39,,0
VE_S00737,aprobada,mayoria_simple,83,42,82,0,1,0,40,,0
VE_S00738,aprobada,mayoria_simple,81,41,76,0,5,0,35,,0
VE_S00739,aprobada,mayoria_simple,88,44,86,0,2,0,42,,0
VE_S00740,aprobada,mayoria_simple,77,39,75,0,2,0,36,,0
VE_S00741,aprobada,mayoria_simple,77,39,76,0,1,0,37,,0
VE_S00742,aprobada,mayoria_simple,84,42,83,0,1,0,41,,0
